"zpid","price","address","bedrooms","bathrooms","sqft","price_per_sqft","property_type","status","latitude","longitude","state","region","hoa","mls_number","parking_garage","description","days_on_market","year_built","acreage","front_photo","image_path","link","scraped_at"
"122394735","$265,000","105 Tomlinson Dr, Starkville, MS 39759","3","3","1,498",176.9,"Townhouse","For Sale",33.459114,-88.85173,"MS","Starkville",NA,"25-445","Carport","Location, style and updates! Already cash-flowing, with a 1-year lease. This 3 BR/3 Full Bath stunner boasts new floors, walk-in closets, new appliances (even new HVAC!) and MORE! Wood privacy fence surrounds the beautiful yard - with room to play and entertain, yet small enough for easy maintenance. Enjoy relaxing on the patio. Unwind on the balcony. Storage shed, washer and dryer can be included. Great rental investment, AirBnB/VRBO, family home, place for young professionals, etc. This is the",NA,"2003",NA,"","property_images/122394735_img1.jpg","https://www.zillow.com/homedetails/105-Tomlinson-Dr-Starkville-MS-39759/122394735_zpid/",2025-11-21 11:03:50.28176
"114893385","$240,000","1142 Waddell Rd, Cedarbluff, MS 39741","2","2","1,960",122.45,"Single Family","For Sale",33.605125,-88.88243,"MS","Cedarbluff",NA,"25-1983","Carport","A true country paradise offering privacy and room to grow! Nestled on 8 beautiful acres, this move-in ready home provides the perfect blend of comfort and peace just off the road, ensuring a quiet and private setting. Sellers now offering a renovation incentive to buyers for this property! The 1,960 sq ft home has been thoughtfully updated with major improvements, including a brand-new septic system, 30-year roof, HVAC system with all new ductwork, and a new electrical panelgiving buyers confide",NA,"1978","19788","","property_images/114893385_img1.jpg","https://www.zillow.com/homedetails/1142-Waddell-Rd-Cedarbluff-MS-39741/114893385_zpid/",2025-11-21 11:03:50.28176
"442302261","$184,900","613 Mallory Ln #B-3, Starkville, MS 39759","2","3","1,056",175.09,"Townhouse","For Sale",33.460274,-88.84893,"MS","Starkville",NA,"25-2230","Carport","Great condo in Starkville! Freshly painted, townhouse style. 2 Bedroom, 2.5 bath. Living area. Full kitchen. Appliances remain, including washer & dryer. HOA & Covenants apply.",NA,"2000",NA,"","property_images/442302261_img1.jpg","https://www.zillow.com/homedetails/613-Mallory-Ln-B-3-Starkville-MS-39759/442302261_zpid/",2025-11-21 11:03:50.28176
"122396373","$670,000","101 Lydia Ln, Starkville, MS 39759","5","4","3,351",199.94,"Single Family","For Sale",33.42307,-88.79982,"MS","Starkville",NA,"25-1855","Carport","Come home to Greenbriar! Beautiful 5 bedroom, 4 bath home with 10-foot ceilings and soft, neutral colors! The downstairs area consists of 4 bedrooms and 3 full baths. The Primary Suite has been recently renovated and contains a tiled shower and soaking tub, plus double vanity cabinets with wonderful storage. The 5th Bedroom is Upstairs and could also easily be a second Den, Bonus/Game Room. The upstairs also contains a large closet and a full bathroom. The property has a 2-car garage with dedica",NA,"2005","20050.56","","property_images/122396373_img1.jpg","https://www.zillow.com/homedetails/101-Lydia-Ln-Starkville-MS-39759/122396373_zpid/",2025-11-21 11:03:50.28176
"456506757","$412,500","214 Graham Rd UNIT 301, Starkville, MS 39759","3","4","1,612",255.89,"Condo","For Sale",33.454094,-88.78156,"MS","Starkville",NA,"25-1824","Carport","Welcome to Five Points Condominiums! Steps from the Drill Field on campus, and a short walk to Davis-Wade Stadium, Five Points Condominiums puts Mississippi State University at your doorstep. The spacious 1,600 sq. ft. 3-bedroom, 3.5-bath units are completely renovated with white solid surface countertops, stainless steel appliances, front load washer and dryer, large closets, balconies, and a huge primary suite! Nine foot ceilings + vaulted ceilings on 3rd floor. Five Points heavily landscaped ",NA,"2012",NA,"","property_images/456506757_img1.jpg","https://www.zillow.com/homedetails/214-Graham-Rd-UNIT-301-Starkville-MS-39759/456506757_zpid/",2025-11-21 11:03:50.28176
"122385978","$439,900","1410 Pinecrest Rd, Starkville, MS 39759","3","2","2,481",177.31,"Single Family","For Sale",33.438965,-88.86529,"MS","Starkville",NA,"25-2271","Carport","Welcome to your dream home in Starkville! Just minutes from MSU, shopping, and with easy access to Highways 25, 12, and 82, this beautifully renovated 3-bedroom, 2-bathroom home blends style, lots of space, and convenience. Step inside to discover a spacious open-concept kitchen, and large family room with a cozy fireplace, formal living and dining area separately, large laundry room. The tasteful finishes throughout the home highlight quality and attention to detail. Outside, enjoy mature lands",NA,"1970","19701.54","","property_images/122385978_img1.jpg","https://www.zillow.com/homedetails/1410-Pinecrest-Rd-Starkville-MS-39759/122385978_zpid/",2025-11-21 11:03:50.28176
"122396255","$299,000","1400 Pike Rd, Starkville, MS 39759","3","2","1,280",233.59,"Single Family","For Sale",33.35415,-88.7866,"MS","Starkville",NA,"25-1033","Carport","Meticulously maintained one owner home on popular Pike Rd in Starkville. Check out this three bed two bath property on almost three acres allowing for more than enough room to roam. Enjoy outdoor entertainment on the back porch and pergola area. Other features include updated appliances with a new stove, refrigerator, and a new hvac system. A 10x16 storage building will also remain with property. Less than 10 miles to MSU's campus and everything Starkville has to offer.",NA,"2010","20102.78","","property_images/122396255_img1.jpg","https://www.zillow.com/homedetails/1400-Pike-Rd-Starkville-MS-39759/122396255_zpid/",2025-11-21 11:03:50.28176
"122388884","$454,900","117 Dunbrook Dr, Starkville, MS 39759","3","4","2,789",163.11,"Single Family","For Sale",33.436935,-88.81379,"MS","Starkville",NA,"25-2221","Carport","This beautifully renovated 3-bedroom, 4-bath home just off South Montgomery in Timbercove features an open floor plan with recessed lighting, all-new flooring, modern light fixtures, fresh paint inside and out, and stunning quartz countertops throughout. The bathrooms have been completely updated, and the spacious primary suite includes a custom tile walk-in shower and an adjoining office that could serve as a 4th bedroom. The formal dining room offers additional flexibility and can also be used",NA,"1970","19700.44","","property_images/122388884_img1.jpg","https://www.zillow.com/homedetails/117-Dunbrook-Dr-Starkville-MS-39759/122388884_zpid/",2025-11-21 11:03:50.28176
"230286296","$789,900","471 Windy Ridge Rd, Starkville, MS 39759","3","3","2,347",336.56,"Single Family","For Sale",33.416996,-88.78154,"MS","Starkville",NA,"25-2339","Carport","Nestled on a quiet hill in the Oktoc community, this tranquil 10-acre escape overlooks q 3-acre lake teeming with bass, catfish, & bream—an angler's paradise & a nature lover's sanctuary. The 3-bedroom, 2.5-bath Southern Living home offers sweeping views from every angle with inviting wraparound porches. Step into elegance with towering ceilings & gleaming wood flooring. Enjoy cozy evenings by the fireplace & mornings in the sunroom... what a life! The generous kitchen, complete with a charming ",NA,"1989","198910.5","","property_images/230286296_img1.jpg","https://www.zillow.com/homedetails/471-Windy-Ridge-Rd-Starkville-MS-39759/230286296_zpid/",2025-11-21 11:03:50.28176
"122395867","$795,000","10336 Oktoc Rd, Starkville, MS 39759","4","4","3,237",245.6,"Single Family","For Sale",33.44286,-88.783905,"MS","Starkville",NA,"25-1566","Carport","Step back in time with this home, filled with details of the past. Large front porch, this two-story home offers a grand foyer and staircase, with primary bedroom suite on the first floor. Three bedrooms and two full bathrooms on the second floor. The first floor has a half-bath, living, dining room, and kitchen. Relax on the front porch or enjoy sitting on the rear porch. All sitting on a hilltop with 4.6+/- acres. Walk to MSU events and just a short distance outside of Starkville.",NA,"1880","18804.6","","property_images/122395867_img1.jpg","https://www.zillow.com/homedetails/10336-Oktoc-Rd-Starkville-MS-39759/122395867_zpid/",2025-11-21 11:06:17.091782
