"zpid","price","address","bedrooms","bathrooms","sqft","price_per_sqft","property_type","status","latitude","longitude","state","region","hoa","mls_number","parking_garage","description","days_on_market","year_built","acreage","front_photo","image_path","link","scraped_at"
"120988722","$355,000","30 Ridgeside, Hattiesburg, MS 39402","4","2","1,992",178.21,"Single Family","For Sale",31.288904,-89.44341,"MS","Hattiesburg","17","144470","Carport","Welcome to this beautifully appointed 4-bedroom, 2-bath home located in the Clear Creek Subdivision. The curb appeal is undeniable, highlighted by a charming front porch that invites you to sit back and relax. Inside, you'll find soaring ceilings in the living room, and a formal dining area with an ornate chandelier offers the perfect space for gatherings and special occasions. You'll love the layout, with three bedrooms on one side and the primary suite tucked away on the other. Step outside to",NA,"2007","20070.64","https://photos.zillowstatic.com/fp/07ef81065af96143c174042479ca09ef-zillow_web_48_23.jpg","property_images/120988722_img1.jpg","https://www.zillow.com/homedetails/30-Ridgeside-Hattiesburg-MS-39402/120988722_zpid/",2025-11-21 11:49:21.612592
"114243275","$292,500","1 Sandy Run Rd, Hattiesburg, MS 39402","3","2","--",NA,"Single Family","For Sale",31.290003,-89.36492,"MS","Hattiesburg",NA,"144952","Carport","New Construction home sitting on an acre of land to be complete in January 2026. This three bedroom two bath home will have luxury vinyl plank flooring throughout, granite counters, wood accents and custom built cabinetry. This property is centrally located on Sandy Run Rd, just minutes from Lincoln Road. The home offer's a country feel with city convenience.",NA,"2026","20260.98","https://photos.zillowstatic.com/fp/07ef81065af96143c174042479ca09ef-zillow_web_48_23.jpg","property_images/114243275_img1.jpg","https://www.zillow.com/homedetails/1-Sandy-Run-Rd-Hattiesburg-MS-39402/114243275_zpid/",2025-11-21 11:49:21.612592
"78045338","$402,900","87 Bent Crk, Hattiesburg, MS 39402","4","3","2,450",164.45,"Single Family","For Sale",31.294159,-89.4543,"MS","Hattiesburg","36","144726","Carport","Back to searchSaveShareHideMoreFor sale See all 23 photos$402,90087 Bent Crk, Hattiesburg, MS 394024beds3baths2,450sqftEst.: LoadingGet pre-qualifiedSingle Family Residence, ResidentialBuilt in 19940.64 Acres Lot$387,600 Zestimate®$164/sqft$36/mo HOAWhat's special20 dayson Zillow|818views|62saves|Likely to sell faster than 81 % nearbyLoadingRequest a touras early as today at 2:30 pmLoadingLoadingContact agentLoading",NA,"1994","19940.64","https://photos.zillowstatic.com/fp/07ef81065af96143c174042479ca09ef-zillow_web_48_23.jpg","property_images/78045338_img1.jpg","https://www.zillow.com/homedetails/87-Bent-Crk-Hattiesburg-MS-39402/78045338_zpid/",2025-11-21 11:49:21.612592
"77934833","$179,000","113 S 12th Ave, Hattiesburg, MS 39401","3","2","1,300",137.69,"Single Family","For Sale",31.323591,-89.30841,"MS","Hattiesburg",NA,"144123","Carport","Welcome to 113 S. 12th Avenue, Hattiesburg, MS 39401 — a charming 3 bedroom, 2-bathroom home offering 1,300 sq. ft +/-. of updated living space in one of the city's most convenient locations. This property combines modern updates with classic character, making it a perfect choice for homeowners or investors alike. Step inside and you'll immediately notice the thoughtful renovations throughout. The home features beautiful wood and vinyl flooring, a fresh coat of paint inside and out, and new fixt",NA,"1947",NA,"https://photos.zillowstatic.com/fp/07ef81065af96143c174042479ca09ef-zillow_web_48_23.jpg","property_images/77934833_img1.jpg","https://www.zillow.com/homedetails/113-S-12th-Ave-Hattiesburg-MS-39401/77934833_zpid/",2025-11-21 11:49:21.612592
"78048849","$435,500","103 Wellington Cir, Hattiesburg, MS 39402","6","3","3,200",136.09,"Single Family","For Sale",31.315966,-89.3501,"MS","Hattiesburg","2","144928","Carport","Step into exceptional living with this expansive 6-bedroom, 3-bath residence, perfectly designed for comfort, style, and modern functionality. Thoughtfully updated and beautifully maintained, this home offers a floor plan that truly caters to today's lifestyle. The generous primary suite features a cozy fireplace, creating a serene retreat. Multiple living and flex spaces include a welcoming living room, a warm and inviting den, a luxurious executive office, and a spacious multipurpose room perf",NA,"1980","19800.43","https://photos.zillowstatic.com/fp/07ef81065af96143c174042479ca09ef-zillow_web_48_23.jpg","property_images/78048849_img1.jpg","https://www.zillow.com/homedetails/103-Wellington-Cir-Hattiesburg-MS-39402/78048849_zpid/",2025-11-21 11:49:21.612592
"77932929","$170,000","403 Crestmont Ave, Hattiesburg, MS 39401","3","3","--",NA,"Single Family","For Sale",31.318819,-89.33803,"MS","Hattiesburg",NA,"142072","Carport","Investor Special or Handy Homeowner Opportunity! Located in a quiet, established neighborhood near USM and Forrest General Hospital, this split-level home sits on a generous lot with plenty of potential. While it does need some TLC, the bones are solid, and the location is unbeatable. The home still features its original cast iron plumbing (some repairs already made), and will need updates including a new roof, HVAC system, kitchen appliances, interior paint, and some exterior wood trim repair. ",NA,"1963","19630.44","https://photos.zillowstatic.com/fp/07ef81065af96143c174042479ca09ef-zillow_web_48_23.jpg","property_images/77932929_img1.jpg","https://www.zillow.com/homedetails/403-Crestmont-Ave-Hattiesburg-MS-39401/77932929_zpid/",2025-11-21 11:49:21.612592
"223714028","$235,900","44 Nicolaus Dr, Hattiesburg, MS 39402","3","2","1,628",144.9,"Single Family","For Sale",31.274853,-89.432236,"MS","Hattiesburg",NA,"144649","Carport","Nestled in the heart of Oak Grove and just moments from its award-winning schools, this charming brick home offers the perfect blend of comfort and convenience. Featuring an inviting open floorplan with 3 bedrooms and 2 baths, it's designed for easy living and effortless entertaining. The spacious master bedroom boasts a walk-in closet and a master bath complete with a jetted tub, separate shower, and double vanities. With a durable metal roof and low-maintenance exterior, you'll have more time ",NA,"2006","20060.96","https://photos.zillowstatic.com/fp/07ef81065af96143c174042479ca09ef-zillow_web_48_23.jpg","property_images/223714028_img1.jpg","https://www.zillow.com/homedetails/44-Nicolaus-Dr-Hattiesburg-MS-39402/223714028_zpid/",2025-11-21 11:49:21.612592
"84631633","$190,000","3 J Scott Rd, Purvis, MS 39475","3","2","1,506",126.16,"Single Family","For Sale",31.267986,-89.36444,"MS","Purvis",NA,"142979","Carport","Located just off Richburg Road, this beautifully updated 3-bedroom, 2-bathroom home offers unbeatable convenience to both Southwest Hattiesburg and Oak Grove. Perfectly situated in a quiet, family-friendly neighborhood, this home features a semi-open, split floor plan ideal for privacy and functionality. Step inside to find a spacious family room and a generous master suite, perfect for relaxing after a long day. The home boasts brand-new flooring, fresh paint throughout, modern light fixtures, ",NA,"2006",NA,"https://photos.zillowstatic.com/fp/07ef81065af96143c174042479ca09ef-zillow_web_48_23.jpg","property_images/84631633_img1.jpg","https://www.zillow.com/homedetails/3-J-Scott-Rd-Purvis-MS-39475/84631633_zpid/",2025-11-21 11:49:21.612592
"77927381","$274,900","1064 Lake Shore Rd, Hattiesburg, MS 39401","3","2","2,064",133.19,"Single Family","For Sale",31.399801,-89.347984,"MS","Hattiesburg",NA,"4132020","Carport","Charming MOVE-IN ready 3-bedroom 2 bath home on 3.3+/- acres. This home features large master suite with double vanity and large closet, good sized bedrooms, roomy kitchen with tons of cabinet space with new s/s appliances, new interior and exterior paint, new flooring in the main room and bedrooms, and an office/bonus room. Great county living yet still close to everything Hattiesburg has to offer. Call your realtor today for a showing.",NA,"1978","19783.3","","property_images/77927381_img1.jpg","https://www.zillow.com/homedetails/1064-Lake-Shore-Rd-Hattiesburg-MS-39401/77927381_zpid/",2025-11-21 11:49:21.612592
"219116000","$135,000","303 S 11th Ave, Hattiesburg, MS 39401","4","2","1,804",74.83,NA,"For Sale",31.320774,-89.30719,"MS","Hattiesburg",NA,"141865","Carport","PRIME INVESTMENT OPPORTUNITY IN THE AVENUES - This duplex offers a rare opportunity to own an established rental property with proven income generation. Currently occupied by long-term tenants who take pride in their home, this investment provides immediate cash flow with minimal landlord involvement. Enjoy consistent monthly income with excellent returns in a desirable location close to USM, shopping, and dining. The Avenues neighborhood is highly sought after for its tree-lined streets, histor",NA,"1942",NA,"https://photos.zillowstatic.com/fp/07ef81065af96143c174042479ca09ef-zillow_web_48_23.jpg","property_images/219116000_img1.jpg","https://www.zillow.com/homedetails/303-S-11th-Ave-Hattiesburg-MS-39401/219116000_zpid/",2025-11-21 11:51:35.755132
