"zpid","price","address","bedrooms","bathrooms","sqft","price_per_sqft","property_type","status","latitude","longitude","state","region","hoa","mls_number","parking_garage","description","days_on_market","year_built","acreage","front_photo","image_path","link","scraped_at"
"19943826","$999,000","22051 San Miguel St, Woodland Hills, CA 91364","3","2","1,320",756.82,"Single Family","For Sale",34.158787,-118.607635,"CA","Woodland Hills",NA,"SR25259090","Carport","Listing Provided by: Justin Shore DRE #01715508 818-652-5824,Pinnacle Estate Properties, Inc. Located South of the Blvd on a tree-lined Woodland Hills street, this single-story 3 bed, 2 bath home offers 1,320 sq ft of bright, easy living on a 6,252 sq ft lot. An open living/dining area showcases hardwood floors, recessed lighting and a painted brick fireplace, with large sliders that extend the space to a covered back patio, ideal for outdoor dining and entertaining. The cheerful kitchen feature",NA,"1954",NA,"","property_images/19943826_img1.jpg","https://www.zillow.com/homedetails/22051-San-Miguel-St-Woodland-Hills-CA-91364/19943826_zpid/",2025-11-21 09:28:20.457303
"20548152","$1,499,000","1622 Michael Ln, Pacific Palisades, CA 90272","3","4","2,467",607.62,"Townhouse","For Sale",34.078514,-118.56428,"CA","Pacific Palisades","688","25619739","Carport","Stunning Mountain Views & Resort-Style Living in the Palisades Highlands! This coveted end-unit Michael Lane Villa townhome offers nearly 2,500 sq ft of refined living across three thoughtfully designed levels. Framed by dramatic vistas of the Santa Monica Mountains, the home seamlessly blends tranquility, elegance, and versatile functionality. A welcoming front patio and dedicated foyer introduce the residence and open to a generous multi-purpose flex space - perfect as a den, library, sitting ",NA,"1979","19799.19","","property_images/20548152_img1.jpg","https://www.zillow.com/homedetails/1622-Michael-Ln-Pacific-Palisades-CA-90272/20548152_zpid/",2025-11-21 09:28:20.457303
"455832631","$2,148,000","11825 Tennessee Ave, Los Angeles, CA 90064","4","3","2,400",895,"Single Family","For Sale",34.03143,-118.449394,"CA","Los Angeles",NA,"SB25178196Originating","Attached Garage","November 20, 2025 at 03:11pmListing Provided by:Kevin DaSilva DRE #01946257 424.392.4213,eXp Realty of Greater Los Angeles, Inc.","69","2025",NA,"","property_images/455832631_img1.jpg","https://www.zillow.com/homedetails/11825-Tennessee-Ave-Los-Angeles-CA-90064/455832631_zpid/",2025-11-21 09:28:20.457303
"19958691","$734,950","6917 Matilija Ave, Van Nuys, CA 91405","4","2","1,422",516.84,"Single Family","For Sale",34.19631,-118.43376,"CA","Van Nuys",NA,"OC25261649","Carport","Listing Provided by: Jessica Nieto DRE #01923684 562-714-2176,eXp Realty of California Inc Discover a prime investment opportunity at 6917 Matilija Ave in Van Nuys Close to NoHo, Sherman Oaks, and major studios. Zoned R1 with potential to expand. This property is ready for the right investor to bring it back to life. The home has sustained fire damage in the kitchen, creating the perfect entry point for value-add improvements, customization, and increased equity potential. With a spacious lot, s",NA,"1948",NA,"","property_images/19958691_img1.jpg","https://www.zillow.com/homedetails/6917-Matilija-Ave-Van-Nuys-CA-91405/19958691_zpid/",2025-11-21 09:28:20.457303
"21290841","$699,950","25531 Frampton Ave, Harbor City, CA 90710","5","3","1,920",364.56,NA,"For Sale",33.79165,-118.30016,"CA","Harbor City",NA,"AR25250880","Carport","Listing Provided by: Douglas Lee DRE #01463907 650-279-1212,COMPASS Both units in this duplex will be delivered VACANT! Rare opportunity to own two homes on a lot (Duplex) in the city of Los Angeles and in Harbor City. Live in one and rent out the other or rent them both out! Front unit is a three bedroom and two bath unit with a small backyard and a detached two car garage and carport - so parking for three vehicles. The back unit is a two bedroom and one bath unit with two parking spots on the",NA,"1955",NA,"","property_images/21290841_img1.jpg","https://www.zillow.com/homedetails/25531-Frampton-Ave-Harbor-City-CA-90710/21290841_zpid/",2025-11-21 09:28:20.457303
"20067233","$999,950","15185 Cobalt St, Sylmar, CA 91342","3","2","1,716",582.72,"Single Family","For Sale",34.313465,-118.46327,"CA","Sylmar",NA,"SR25256650","Carport","Listing Provided by: William Duggan DRE #01370680 818-886-7368,Duggan Property Management, Inc. Head's up all you contractors out there. Here's a fixer on a 28,000 sf lot that is zoned RA-1-K for limited agriculture or equestrian use. Think room for possible ADU or Guest House. Room for a pool. Possible horse facilities/barn. Bring all the toys. Make it your own! This is a builders dream. Inside you will find a LARGE living room/dining room with fireplace. Newer cooktop and oven. Newer windows. ",NA,"1927","19270.66","","property_images/20067233_img1.jpg","https://www.zillow.com/homedetails/15185-Cobalt-St-Sylmar-CA-91342/20067233_zpid/",2025-11-21 09:28:20.457303
"21314908","$879,000","1125 W 25th St, San Pedro, CA 90731","3","2","1,138",772.41,"Single Family","For Sale",33.721237,-118.30248,"CA","San Pedro",NA,"SB25261838","Carport","Listing Provided by: Jo Ann Van Leuven DRE #01153476 310-345-3245,Estate Properties Welcome to the ""Poppy House"". This home is light, bright, colorful and full of charm and personality. You are greeted by a serene Zen like drought friendly front yard with custom pavers and brick entry. Custom kitchen with farm sink, butcher block appliances and custom backsplash. Living room with coved ceilings and newer AC/Heat split. Spacious primary bedroom with access to the backyard. Both baths have been ni",NA,"1940",NA,"","property_images/21314908_img1.jpg","https://www.zillow.com/homedetails/1125-W-25th-St-San-Pedro-CA-90731/21314908_zpid/",2025-11-21 09:28:20.457303
"20529397","$59,000,000","10697 Somma Way, Los Angeles, CA 90077","8","21","41,000",1439.02,"Single Family","For Sale",34.091194,-118.45233,"CA","Los Angeles",NA,"2634011","Carport","Rising above the Hotel Bel Air in the heart of the most exclusive neighborhood in the world, The Estate on Somma is a modern Spanish Revival masterpiece that redefines luxury living. Undoubtedly one of the most spectacular private residences in the world, this masterfully constructed work of art spans 40,000 square feet and features 8 bedrooms, 21 bathrooms, and an endless array of awe-inspiring amenities. Impressive and unforgettable, this extraordinary estate encompasses a private oasis that f",NA,NA,"1.35","","property_images/20529397_img1.jpg","https://www.zillow.com/homedetails/10697-Somma-Way-Los-Angeles-CA-90077/20529397_zpid/",2025-11-21 09:28:20.457303
"65251978","$639,000","11701 Texas Ave APT 306, Los Angeles, CA 90025","2","2","1,182",540.61,"Condo","For Sale",34.047146,-118.45961,"CA","Los Angeles","413","25611171","Carport","TOP FLOOR UNIT, this well-maintained 2-bedroom, 2-bath condominium offers comfortable living in a prime Westside location. The open concept living area features a generous living room with a gas fireplace, dry bar, and access to a private balcony perfect for enjoying your morning coffee. The dining area flows seamlessly into the kitchen, and a full guest bath is located just off the hallway. Both bedrooms are spacious with ample closet storage; the primary suite includes an ensuite bath with a s",NA,"1977",NA,"","property_images/65251978_img1.jpg","https://www.zillow.com/homedetails/11701-Texas-Ave-APT-306-Los-Angeles-CA-90025/65251978_zpid/",2025-11-21 09:28:20.457303
"19874583","$929,900","6546 Neddy Ave, West Hills, CA 91307","3","2","1,570",592.29,"Single Family","For Sale",34.18944,-118.653046,"CA","West Hills",NA,"25621331","Carport","Tucked on a calm West Hills street, this inviting pool home immediately feels warm and welcoming, with a charming front yard anchored by a mature fig tree. Inside, natural light, comfortable proportions, and an easy flow create a space that feels good the moment you walk in. The main living areas connect seamlessly, with a fireplace adding warmth and a generous kitchen that's ready for anyone who loves to cook-complete with an impressive 36\" Viking range and plenty of room to prep, serve, and ga",NA,"1960",NA,"","property_images/19874583_img1.jpg","https://www.zillow.com/homedetails/6546-Neddy-Ave-West-Hills-CA-91307/19874583_zpid/",2025-11-21 09:31:24.416942
"20610517","$1,200,000","806 S Cochran Ave, Los Angeles, CA 90036","2","1","1,352",887.57,"Single Family","For Sale",34.060238,-118.34763,"CA","Los Angeles",NA,"25614395","Carport","Offered for the first time in 35 years, this is a rare opportunity to own a charming Spanish-style home in the heart of Los Angeles' highly sought-after Miracle Mile neighborhood. Ideally situated on a prime street just moments from Wilshire Boulevard, this residence embodies timeless character and architectural integrity. Featuring 2 bedrooms, 1 bathroom, a bonus room (unpermitted), and a detached garage, the home showcases original hardwood floors, a cozy fireplace, and inviting front and rear",NA,"1923",NA,"","property_images/20610517_img1.jpg","https://www.zillow.com/homedetails/806-S-Cochran-Ave-Los-Angeles-CA-90036/20610517_zpid/",2025-11-21 09:31:24.416942
